# vehicle id = 2
# random fix = 0.68322347
# vehicle type = OBSTACLE
# model label = 
# physical vehicle length (in m) = 1.00
# position x is defined by vehicle front (on the given road segment)
# origin roadsegment id= 3, exit roadsegment id= -1 (not set=-1)
# Route [name=main, length=5000.0, roadSegments=[RoadSegment [nodeId=2, userId=2, roadName=R2, roadLength=2000.0, laneCount=1, Node[type=origin, nodeId=7], Node[type=destination, nodeId=9]], RoadSegment [nodeId=3, userId=3, roadName=R3, roadLength=500.0, laneCount=2, Node[type=origin, nodeId=9], Node[type=destination, nodeId=10]], RoadSegment [nodeId=4, userId=4, roadName=R4, roadLength=2500.0, laneCount=1, Node[type=origin, nodeId=10], Node[type=destination, nodeId=11]]]]
#     t[s],    roadId,      lane,      x[m], totalX[m],    v[m/s],  a[m/s^2],aModel[m/s^2], gap[m],   dv[m/s],distToTL[m],fuelFlow[ml/s],frontVehID,slope[rad]
     29.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     29.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     29.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     29.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     29.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     30.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     30.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     30.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     30.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     30.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     31.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     31.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     31.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     31.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     31.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     32.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     32.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     32.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     32.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     32.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     33.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     33.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     33.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
