#     t[s], lane,  xEnter[m],    v[km/h],   qBC[1/h],    count,      queue
      5.80,    1,       0.00,      86.35,     601.93,        1,    0.00161
     11.80,    1,      51.61,      54.00,     603.93,        2,    0.00656
     17.80,    1,      87.36,      54.00,     605.93,        3,    0.01483
     23.80,    1,      96.01,      54.00,     607.93,        4,    0.02644
     29.60,    1,     111.40,      67.43,     609.87,        5,    0.00750
     35.60,    1,     117.25,      69.95,     611.87,        6,    0.02567
     41.40,    1,     142.06,      72.00,     613.80,        7,    0.01307
