#     t[s], lane,  xEnter[m],    v[km/h],   qBC[1/h],    count,      queue
     18.00,    1,       0.00,      72.00,     200.00,        1,    0.01111
     36.00,    1,     316.00,      72.00,     200.00,        2,    0.01111
