#v(km/h),   acc(m/s^2),  forceMech(N), powMech(kW), fuelFlow(l/h), consump(liters/100km), Gear
# veh mass = 1000.0
# number of gears = 7
# v[m/s], accFreeWheeling[m/s^2], fuelFlow[l/h], gear, c100[l/100km]
22.000, -0.35993189,  3.73492918,  7,  4.71581967
22.200, -0.36381823,  3.79058084,  7,  4.74296902
22.400, -0.36773975,  3.84699224,  7,  4.77057570
22.600, -0.37169644,  3.90417268,  7,  4.79863899
22.800, -0.37568830,  3.96213139,  7,  4.82715813
23.000, -0.37971533,  4.02087756,  7,  4.85613232
23.200, -0.38377753,  4.08042031,  7,  4.88556072
23.400, -0.38787490,  4.14076870,  7,  4.91544243
23.600, -0.39200744,  4.20193172,  7,  4.94577651
23.800, -0.39617515,  4.26391830,  7,  4.97656198
24.000, -0.40037803,  4.32673730,  7,  5.00779780
24.200, -0.40461608,  4.39039750,  7,  5.03948290
24.400, -0.40888931,  4.45490764,  7,  5.07161616
24.600, -0.41319770,  4.52027635,  7,  5.10419642
24.800, -0.41754127,  4.58651221,  7,  5.13722245
25.000, -0.42192000,  4.65362372,  7,  5.17069302
25.200, -0.42633391,  4.72161931,  7,  5.20460682
25.400, -0.43078298,  4.79050734,  7,  5.23896253
25.600, -0.43526723,  4.86029608,  7,  5.27375876
25.800, -0.43978664,  4.93099373,  7,  5.30899411
26.000, -0.44434123,  5.00260844,  7,  5.34466714
26.200, -0.44893099,  5.07514825,  7,  5.38077635
26.400, -0.45355592,  5.14862116,  7,  5.41732024
26.600, -0.45821602,  5.22303506,  7,  5.45429727
26.800, -0.46291129,  5.29839781,  7,  5.49170586
27.000, -0.46764173,  5.37471717,  7,  5.52954442
27.200, -0.47240734,  5.45200084,  7,  5.56781131
27.400, -0.47720812,  5.53025644,  7,  5.60650491
27.600, -0.48204407,  5.60949155,  7,  5.64562354
27.800, -0.48691519,  5.68971365,  7,  5.68516551
28.000, -0.49182149,  5.77093017,  7,  5.72512914
28.200, -0.49676295,  5.85314848,  7,  5.76551269
28.400, -0.50173959,  5.93637589,  7,  5.80631445
28.600, -0.50675139,  6.02061964,  7,  5.84753268
28.800, -0.51179837,  6.10588692,  7,  5.88916562
29.000, -0.51688051,  6.19218485,  7,  5.93121154
29.200, -0.52199783,  6.27952051,  7,  5.97366868
29.400, -0.52715032,  6.36790093,  7,  6.01653527
29.600, -0.53233797,  6.45733306,  7,  6.05980956
29.800, -0.53756080,  6.54782384,  7,  6.10348978
30.000, -0.54281880,  6.63938013,  7,  6.14757420
30.200, -0.54811197,  6.73200878,  7,  6.19206105
30.400, -0.55344031,  6.82571655,  7,  6.23694860
30.600, -0.55880382,  6.92051020,  7,  6.28223511
30.800, -0.56420250,  7.01639643,  7,  6.32791886
31.000, -0.56963635,  7.11338191,  7,  6.37399813
31.200, -0.57510537,  7.21147328,  7,  6.42047122
31.400, -0.58060957,  7.31067713,  7,  6.46733645
31.600, -0.58614893,  7.41100003,  7,  6.51459215
31.800, -0.59172346,  7.51244854,  7,  6.56223667
32.000, -0.59733317,  7.61502915,  7,  6.61026836
32.200, -0.60297804,  7.71874836,  7,  6.65868561
32.400, -0.60865809,  7.82361263,  7,  6.70748683
32.600, -0.61437330,  7.92962841,  7,  6.75667043
32.800, -0.62012369,  8.03680213,  7,  6.80623487
33.000, -0.62590925,  8.14514018,  7,  6.85617860
33.200, -0.63172998,  8.25464896,  7,  6.90650014
33.400, -0.63758587,  8.36533485,  7,  6.95719798
33.600, -0.64347694,  8.47720420,  7,  7.00827067
33.800, -0.64940318,  8.59026338,  7,  7.05971678
34.000, -0.65536459,  8.70451872,  7,  7.11153490
34.200, -0.66136117,  8.81997655,  7,  7.16372364
34.400, -0.66739292,  8.93664321,  7,  7.21628166
34.600, -0.67345985,  9.05452502,  7,  7.26920762
34.800, -0.67956194,  9.17362828,  7,  7.32250023
35.000, -0.68569920,  9.29395933,  7,  7.37615820
35.200, -0.69187163,  9.41552447,  7,  7.43018030
35.400, -0.69807924,  9.53833001,  7,  7.48456530
35.600, -0.70432201,  9.66238227,  7,  7.53931201
35.800, -0.71059996,  9.78768757,  7,  7.59441928
36.000, -0.71691307,  9.91425221,  7,  7.64988596
36.200, -0.72326136,  10.04208252,  7,  7.70571096
36.400, -0.72964481,  10.17118482,  7,  7.76189318
36.600, -0.73606344,  10.30156545,  7,  7.81843158
36.800, -0.74251724,  10.43323074,  7,  7.87532513
37.000, -0.74900621,  10.56618702,  7,  7.93257284
37.200, -0.75553035,  10.70044066,  7,  7.99017373
37.400, -0.76208966,  10.83599800,  7,  8.04812686
37.600, -0.76868414,  10.97286542,  7,  8.10643131
37.800, -0.77531379,  11.11104927,  7,  8.16508618
38.000, -0.78197861,  11.25055596,  7,  8.22409061
38.200, -0.78867860,  11.39139186,  7,  8.28344376
38.400, -0.79541376,  11.53356338,  7,  8.34314481
38.600, -0.80218409,  11.67707693,  7,  8.40319296
38.800, -0.80898960,  11.82193894,  7,  8.46358745
39.000, -0.81583027,  11.96815584,  7,  8.52432752
39.200, -0.82270612,  12.11573407,  7,  8.58541247
39.400, -0.82961713,  12.26468009,  7,  8.64684158
39.600, -0.83656332,  12.41500037,  7,  8.70861417
39.800, -0.84354467,  12.56670137,  7,  8.77072960
40.000, -0.85056120,  12.71978960,  7,  8.83318722
40.200, -0.85761290,  12.87427155,  7,  8.89598642
40.400, -0.86469977,  13.03015373,  7,  8.95912660
40.600, -0.87182180,  13.18744267,  7,  9.02260719
40.800, -0.87897901,  13.34614491,  7,  9.08642763
41.000, -0.88617139,  13.50626698,  7,  9.15058738
41.200, -0.89339894,  13.66781545,  7,  9.21508593
41.400, -0.90066166,  13.83079688,  7,  9.27992276
41.600, -0.90795955,  13.99521787,  7,  9.34509740
41.800, -0.91529262,  14.16108499,  7,  9.41060937
42.000, -0.92266085,  14.32840485,  7,  9.47645823
42.200, -0.93006425,  14.49718406,  7,  9.54264354
42.400, -0.93750282,  14.66742925,  7,  9.60916487
42.600, -0.94497657,  14.83914706,  7,  9.67602182
42.800, -0.95248548,  15.01234412,  7,  9.74321399
43.000, -0.96002957,  15.18702710,  7,  9.81074102
43.200, -0.96760882,  15.36320265,  7,  9.87860253
43.400, -0.97522325,  15.54087746,  7,  9.94679817
43.600, -0.98287285,  15.72005820,  7,  10.01532760
43.800, -0.99055761,  15.90075158,  7,  10.08419050
44.000, -0.99827755,  16.08296430,  7,  10.15338655
44.200, -1.00603266,  16.26670308,  7,  10.22291546
44.400, -1.01382294,  16.45197463,  7,  10.29277692
44.600, -1.02164839,  16.63878570,  7,  10.36297066
44.800, -1.02950901,  16.82714301,  7,  10.43349641
45.000, -1.03740480,  17.01705334,  7,  10.50435391
45.200, -1.04533576,  17.20852343,  7,  10.57554291
45.400, -1.05330189,  17.40156005,  7,  10.64706317
45.600, -1.06130320,  17.59616999,  7,  10.71891447
45.800, -1.06933967,  17.79236004,  7,  10.79109658
46.000, -1.07741131,  17.99013698,  7,  10.86360929
46.200, -1.08551813,  18.18950763,  7,  10.93645240
46.400, -1.09366011,  18.39047880,  7,  11.00962572
46.600, -1.10183727,  18.59305732,  7,  11.08312907
46.800, -1.11004959,  18.79725003,  7,  11.15696227
47.000, -1.11829709,  19.00306376,  7,  11.23112516
47.200, -1.12657975,  19.21050538,  7,  11.30561757
47.400, -1.13489759,  19.41958175,  7,  11.38043937
47.600, -1.14325060,  19.63029974,  7,  11.45559042
47.800, -1.15163878,  19.84266625,  7,  11.53107058
48.000, -1.16006213,  20.05668818,  7,  11.60687974
48.200, -1.16852065,  20.27237245,  7,  11.68301778
48.400, -1.17701434,  20.48972597,  7,  11.75948460
48.600, -1.18554320,  20.70875569,  7,  11.83628012
48.800, -1.19410723,  20.92946858,  7,  11.91340425
49.000, -1.20270643,  21.15187160,  7,  11.99085692
49.200, -1.21134080,  21.37597175,  7,  12.06863807
49.400, -1.22001035,  21.60177604,  7,  12.14674766
49.600, -1.22871506,  21.82929151,  7,  12.22518566
49.800, -1.23745495,  22.05852521,  7,  12.30395204
50.000, -1.24623000,  22.28948423,  7,  12.38304679
50.200, -1.25504023,  22.52217567,  7,  12.46246993
