#f(1/min); powerMech(kW); consRate(l/h); moment(Nm); specCons(g/kWh)
# c_spec0 in idle mode = 0.650104 kg/kWh = 0.855400 Liter/kWh 
700.0, -20.000, 0.000000000, -272.837045300, 0.000000000
700.0, -18.481, 0.000000000, -252.115244392, 0.000000000
700.0, -16.962, 0.000000000, -231.393443483, 0.000000000
700.0, -15.443, 0.000000000, -210.671642574, 0.000000000
700.0, -13.924, 0.000000000, -189.949841665, 0.000000000
700.0, -12.405, 0.000000000, -169.228040756, 0.000000000
700.0, -10.886, 0.000000000, -148.506239847, 0.000000000
700.0, -9.367, 0.000000000, -127.784438938, 0.000000000
700.0, -7.848, 0.000000000, -107.062638029, 0.000000000
700.0, -6.329, 0.000000000, -86.340837120, 0.000000000
700.0, -4.810, 0.000000000, -65.619036211, 0.000000000
700.0, -3.291, 0.000000000, -44.897235303, 0.000000000
700.0, -1.772, 0.000000000, -24.175434394, 0.000000000
700.0, -0.253, 0.702046949, -3.453633485, 0.000000000
700.0, 1.266, 0.969684911, 17.268167424, 582.198820584
700.0, 2.785, 1.207266389, 37.989968333, 329.473972654
700.0, 4.304, 1.580431515, 58.711769242, 279.085612170
700.0, 5.823, 2.008203971, 79.433570151, 262.114274797
700.0, 7.342, 2.452234357, 100.155371060, 253.848535827
700.0, 8.861, 2.900554279, 120.877171969, 248.784684191
700.0, 10.380, 3.349947156, 141.598972877, 245.281496652
700.0, 11.899, 3.799674355, 162.320773786, 242.694093907
700.0, 13.418, 4.249931418, 183.042574695, 240.722530524
700.0, 14.937, 4.702838496, 203.764375604, 239.286799423
700.0, 16.456, 5.170352432, 224.486176513, 238.790738456
700.0, 17.975, 5.718177554, 245.207977422, 241.774211518
700.0, 19.494, 6.705011135, 265.929778331, 261.408356191
700.0, 21.013, 10.079283138, 286.651579240, 364.554313024
700.0, 22.532, 26.378880083, 307.373380149, 889.768516945
700.0, 24.051, 112.379333979, 328.095181057, 0.000000000
700.0, 25.570, 572.937457711, 348.816981966, 0.000000000
700.0, 27.089, 3040.035307127, 369.538782875, 0.000000000
700.0, 28.608, 16226.384714190, 390.260583784, 0.000000000
700.0, 30.127, 86532.642042870, 410.982384693, 0.000000000
700.0, 31.646, 460520.828164053, 431.704185602, 0.000000000
700.0, 33.165, 2445700.793173117, 452.425986511, 0.000000000
700.0, 34.684, 12962853.545583747, 473.147787420, 0.000000000
700.0, 36.203, 68581741.552898510, 493.869588329, 0.000000000
700.0, 37.722, 362234224.702539000, 514.591389237, 0.000000000
700.0, 39.241, 1910290486.743975200, 535.313190146, 0.000000000
700.0, 40.759, 10059770910.304455000, 556.034991055, 0.000000000
700.0, 42.278, 52905397159.848145000, 576.756791964, 0.000000000
700.0, 43.797, 277891291641.662200000, 597.478592873, 0.000000000
700.0, 45.316, 1457970820727.383500000, 618.200393782, 0.000000000
700.0, 46.835, 7641067782338.029000000, 638.922194691, 0.000000000
700.0, 48.354, 40005522192021.900000000, 659.643995600, 0.000000000
700.0, 49.873, 209253716410079.280000000, 680.365796509, 0.000000000
700.0, 51.392, 1093548569664708.900000000, 701.087597417, 0.000000000
700.0, 52.911, 5710009914281263.000000000, 721.809398326, 0.000000000
700.0, 54.430, 29791331127723580.000000000, 742.531199235, 0.000000000
700.0, 55.949, 155315905812909408.000000000, 763.253000144, 0.000000000
700.0, 57.468, 809155845117534720.000000000, 783.974801053, 0.000000000
700.0, 58.987, 4212641909378039300.000000000, 804.696601962, 0.000000000
700.0, 60.506, 21917840066253840000.000000000, 825.418402871, 0.000000000
700.0, 62.025, 113966035514871510000.000000000, 846.140203780, 0.000000000
700.0, 63.544, 592243451251568100000.000000000, 866.862004689, 0.000000000
700.0, 65.063, 3075983552624071300000.000000000, 887.583805597, 0.000000000
700.0, 66.582, 15967526247889103000000.000000000, 908.305606506, 0.000000000
700.0, 68.101, 82845971795926420000000.000000000, 929.027407415, 0.000000000
700.0, 69.620, 429630251905536700000000.000000000, 949.749208324, 0.000000000
700.0, 71.139, 2226983353821008700000000.000000000, 970.471009233, 0.000000000
700.0, 72.658, 11538414752863482000000000.000000000, 991.192810142, 0.000000000
700.0, 74.177, 59757203223594455000000000.000000000, 1011.914611051, 0.000000000
700.0, 75.696, 309354710899893300000000000.000000000, 1032.636411960, 0.000000000
700.0, 77.215, 1600856972292010600000000000.000000000, 1053.358212869, 0.000000000
700.0, 78.734, 8281027531019172000000000000.000000000, 1074.080013777, 0.000000000
700.0, 80.253, 42821120065935860000000000000.000000000, 1094.801814686, 0.000000000
700.0, 81.772, 221350123836626140000000000000.000000000, 1115.523615595, 0.000000000
700.0, 83.291, 1143812931780511400000000000000.000000000, 1136.245416504, 0.000000000
700.0, 84.810, 5908659449352122000000000000000.000000000, 1156.967217413, 0.000000000
700.0, 86.329, 30513119053246516000000000000000.000000000, 1177.689018322, 0.000000000
700.0, 87.848, 157526142649583300000000000000000.000000000, 1198.410819231, 0.000000000
700.0, 89.367, 813001843426818800000000000000000.000000000, 1219.132620140, 0.000000000
700.0, 90.886, 4194763890904806000000000000000000.000000000, 1239.854421049, 0.000000000
700.0, 92.405, 21637378559748427000000000000000000.000000000, 1260.576221958, 0.000000000
700.0, 93.924, 111580097290770880000000000000000000.000000000, 1281.298022866, 0.000000000
700.0, 95.443, 575251093467414300000000000000000000.000000000, 1302.019823775, 0.000000000
700.0, 96.962, 2964969827686526400000000000000000000.000000000, 1322.741624684, 0.000000000
700.0, 98.481, 15278423161594398000000000000000000000.000000000, 1343.463425593, 0.000000000
